Tt,CT,DT,Ct,Dt,QmT,NT,Cr,Mo,Cu,Si,Ni,Fatigue
60,30,30.0,0.0,0.0,30,865,0.03,0.0,0.02,0.21,0.01,362
60,30,30.0,0.0,0.0,30,865,0.09,0.0,0.11,0.29,0.06,361
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.03,0.26,0.01,385
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.03,0.26,0.02,348
60,30,30.0,0.0,0.0,30,865,0.11,0.0,0.02,0.27,0.01,368
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.01,0.25,0.03,341
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.02,0.24,0.02,365
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.08,0.21,0.06,325
60,30,30.0,0.0,0.0,30,845,0.13,0.0,0.02,0.25,0.02,513
60,30,30.0,0.0,0.0,30,845,0.11,0.0,0.02,0.26,0.01,448
60,30,30.0,0.0,0.0,30,845,0.06,0.0,0.13,0.24,0.12,465
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.02,0.24,0.03,446
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.03,0.22,0.01,437
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.25,0.02,502
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.04,0.25,0.13,465
60,30,30.0,0.0,0.0,30,845,0.12,0.0,0.01,0.22,0.01,475
60,30,30.0,0.0,0.0,30,845,0.09,0.0,0.01,0.26,0.02,504
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.15,0.25,0.12,486
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.26,0.01,452
60,30,30.0,0.0,0.0,30,845,0.13,0.0,0.02,0.25,0.02,459
60,30,30.0,0.0,0.0,30,845,0.11,0.0,0.02,0.26,0.01,415
60,30,30.0,0.0,0.0,30,845,0.06,0.0,0.13,0.24,0.12,437
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.02,0.24,0.03,415
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.03,0.22,0.01,401
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.25,0.02,463
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.04,0.25,0.13,442
60,30,30.0,0.0,0.0,30,845,0.12,0.0,0.01,0.22,0.01,438
60,30,30.0,0.0,0.0,30,845,0.09,0.0,0.01,0.26,0.02,468
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.15,0.25,0.12,452
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.26,0.01,422
60,30,30.0,0.0,0.0,30,845,0.13,0.0,0.02,0.25,0.02,413
60,30,30.0,0.0,0.0,30,845,0.11,0.0,0.02,0.26,0.01,395
60,30,30.0,0.0,0.0,30,845,0.06,0.0,0.13,0.24,0.12,398
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.02,0.24,0.03,378
60,30,30.0,0.0,0.0,30,845,0.02,0.0,0.03,0.22,0.01,372
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.25,0.02,415
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.04,0.25,0.13,396
60,30,30.0,0.0,0.0,30,845,0.12,0.0,0.01,0.22,0.01,388
60,30,30.0,0.0,0.0,30,845,0.09,0.0,0.01,0.26,0.02,415
60,30,30.0,0.0,0.0,30,845,0.04,0.0,0.15,0.25,0.12,398
60,30,30.0,0.0,0.0,30,845,0.1,0.0,0.01,0.26,0.01,382
60,30,30.0,0.0,0.0,30,825,0.09,0.0,0.01,0.23,0.01,523
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.26,0.02,534
60,30,30.0,0.0,0.0,30,825,0.04,0.0,0.02,0.29,0.04,489
60,30,30.0,0.0,0.0,30,825,0.13,0.0,0.11,0.26,0.04,500
60,30,30.0,0.0,0.0,30,825,0.01,0.0,0.01,0.2,0.01,495
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.02,0.23,0.01,522
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.3,0.02,531
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.01,0.3,0.02,533
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.03,0.25,0.03,492
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.02,0.21,0.02,505
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.22,0.27,0.06,541
60,30,30.0,0.0,0.0,30,825,0.09,0.0,0.01,0.23,0.01,468
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.26,0.02,459
60,30,30.0,0.0,0.0,30,825,0.04,0.0,0.02,0.29,0.04,444
60,30,30.0,0.0,0.0,30,825,0.13,0.0,0.11,0.26,0.04,458
60,30,30.0,0.0,0.0,30,825,0.01,0.0,0.01,0.2,0.01,445
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.02,0.23,0.01,464
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.3,0.02,466
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.01,0.3,0.02,486
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.03,0.25,0.03,461
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.02,0.21,0.02,464
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.22,0.27,0.06,475
60,30,30.0,0.0,0.0,30,825,0.09,0.0,0.01,0.23,0.01,419
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.26,0.02,418
60,30,30.0,0.0,0.0,30,825,0.04,0.0,0.02,0.29,0.04,402
60,30,30.0,0.0,0.0,30,825,0.13,0.0,0.11,0.26,0.04,398
60,30,30.0,0.0,0.0,30,825,0.01,0.0,0.01,0.2,0.01,411
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.02,0.23,0.01,428
60,30,30.0,0.0,0.0,30,825,0.12,0.0,0.01,0.3,0.02,415
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.01,0.3,0.02,425
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.03,0.25,0.03,412
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.02,0.21,0.02,410
60,30,30.0,0.0,0.0,30,825,0.1,0.0,0.22,0.27,0.06,415
60,30,30.0,0.0,0.0,30,870,1.12,0.0,0.02,0.24,0.03,582
60,30,30.0,0.0,0.0,30,870,0.96,0.0,0.04,0.27,0.02,524
60,30,30.0,0.0,0.0,30,870,1.1,0.0,0.13,0.31,0.07,583
60,30,30.0,0.0,0.0,30,870,1.06,0.0,0.01,0.22,0.03,569
60,30,30.0,0.0,0.0,30,870,0.98,0.0,0.11,0.25,0.06,536
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.03,577
60,30,30.0,0.0,0.0,30,870,0.94,0.0,0.05,0.26,0.04,565
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.05,562
60,30,30.0,0.0,0.0,30,870,1.12,0.0,0.02,0.24,0.03,522
60,30,30.0,0.0,0.0,30,870,0.96,0.0,0.04,0.27,0.02,504
60,30,30.0,0.0,0.0,30,870,1.1,0.0,0.13,0.31,0.07,516
60,30,30.0,0.0,0.0,30,870,1.06,0.0,0.01,0.22,0.03,517
60,30,30.0,0.0,0.0,30,870,0.98,0.0,0.11,0.25,0.06,511
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.03,518
60,30,30.0,0.0,0.0,30,870,0.94,0.0,0.05,0.26,0.04,524
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.05,503
60,30,30.0,0.0,0.0,30,870,1.12,0.0,0.02,0.24,0.03,483
60,30,30.0,0.0,0.0,30,870,0.96,0.0,0.04,0.27,0.02,457
60,30,30.0,0.0,0.0,30,870,1.1,0.0,0.13,0.31,0.07,482
60,30,30.0,0.0,0.0,30,870,1.06,0.0,0.01,0.22,0.03,470
60,30,30.0,0.0,0.0,30,870,0.98,0.0,0.11,0.25,0.06,459
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.03,490
60,30,30.0,0.0,0.0,30,870,0.94,0.0,0.05,0.26,0.04,485
60,30,30.0,0.0,0.0,30,870,1.09,0.0,0.04,0.32,0.05,483
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.19,0.3,0.05,587
60,30,30.0,0.0,0.0,30,870,1.03,0.15,0.01,0.3,0.02,571
60,30,30.0,0.0,0.0,30,870,1.03,0.17,0.04,0.27,0.03,578
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.23,0.05,526
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.1,0.25,0.12,535
60,30,30.0,0.0,0.0,30,870,0.97,0.15,0.12,0.35,0.05,572
60,30,30.0,0.0,0.0,30,870,1.09,0.16,0.05,0.23,0.04,562
60,30,30.0,0.0,0.0,30,870,0.99,0.19,0.18,0.25,0.08,563
60,30,30.0,0.0,0.0,30,870,1.06,0.17,0.02,0.25,0.02,583
60,30,30.0,0.0,0.0,30,870,0.99,0.18,0.05,0.27,0.04,585
60,30,30.0,0.0,0.0,30,870,1.0,0.16,0.02,0.25,0.01,592
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.12,0.29,0.12,573
60,30,30.0,0.0,0.0,30,870,1.07,0.16,0.12,0.27,0.07,536
60,30,30.0,0.0,0.0,30,870,1.05,0.16,0.12,0.29,0.11,557
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.19,0.3,0.05,552
60,30,30.0,0.0,0.0,30,870,1.03,0.15,0.01,0.3,0.02,519
60,30,30.0,0.0,0.0,30,870,1.03,0.17,0.04,0.27,0.03,524
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.23,0.05,508
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.1,0.25,0.12,490
60,30,30.0,0.0,0.0,30,870,0.97,0.15,0.12,0.35,0.05,550
60,30,30.0,0.0,0.0,30,870,1.09,0.16,0.05,0.23,0.04,515
60,30,30.0,0.0,0.0,30,870,0.99,0.19,0.18,0.25,0.08,530
60,30,30.0,0.0,0.0,30,870,1.06,0.17,0.02,0.25,0.02,546
60,30,30.0,0.0,0.0,30,870,0.99,0.18,0.05,0.27,0.04,535
60,30,30.0,0.0,0.0,30,870,1.0,0.16,0.02,0.25,0.01,550
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.12,0.29,0.12,542
60,30,30.0,0.0,0.0,30,870,1.07,0.16,0.12,0.27,0.07,592
60,30,30.0,0.0,0.0,30,870,1.05,0.16,0.12,0.29,0.11,524
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.19,0.3,0.05,497
60,30,30.0,0.0,0.0,30,870,1.03,0.15,0.01,0.3,0.02,491
60,30,30.0,0.0,0.0,30,870,1.03,0.17,0.04,0.27,0.03,463
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.23,0.05,464
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.1,0.25,0.12,459
60,30,30.0,0.0,0.0,30,870,0.97,0.15,0.12,0.35,0.05,489
60,30,30.0,0.0,0.0,30,870,1.09,0.16,0.05,0.23,0.04,477
60,30,30.0,0.0,0.0,30,870,0.99,0.19,0.18,0.25,0.08,469
60,30,30.0,0.0,0.0,30,870,1.06,0.17,0.02,0.25,0.02,496
60,30,30.0,0.0,0.0,30,870,0.99,0.18,0.05,0.27,0.04,467
60,30,30.0,0.0,0.0,30,870,1.0,0.16,0.02,0.25,0.01,511
60,30,30.0,0.0,0.0,30,870,1.01,0.16,0.12,0.29,0.12,490
60,30,30.0,0.0,0.0,30,870,1.07,0.16,0.12,0.27,0.07,523
60,30,30.0,0.0,0.0,30,870,1.05,0.16,0.12,0.29,0.11,476
60,30,30.0,0.0,0.0,30,870,1.06,0.2,0.05,0.24,0.04,610
60,30,30.0,0.0,0.0,30,870,0.96,0.17,0.12,0.27,0.1,581
60,30,30.0,0.0,0.0,30,870,1.07,0.22,0.02,0.26,0.02,625
60,30,30.0,0.0,0.0,30,870,0.98,0.17,0.13,0.26,0.05,562
60,30,30.0,0.0,0.0,30,870,1.02,0.18,0.1,0.24,0.03,635
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.25,0.05,566
60,30,30.0,0.0,0.0,30,870,1.08,0.19,0.15,0.28,0.09,638
60,30,30.0,0.0,0.0,30,870,1.0,0.19,0.02,0.24,0.02,606
60,30,30.0,0.0,0.0,30,870,1.1,0.15,0.09,0.29,0.12,582
60,30,30.0,0.0,0.0,30,870,1.04,0.17,0.12,0.28,0.07,634
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.15,0.26,0.13,585
60,30,30.0,0.0,0.0,30,870,1.06,0.18,0.11,0.25,0.07,603
60,30,30.0,0.0,0.0,30,870,0.94,0.17,0.12,0.22,0.04,625
60,30,30.0,0.0,0.0,30,870,0.96,0.18,0.1,0.25,0.24,631
60,30,30.0,0.0,0.0,30,870,1.05,0.21,0.02,0.26,0.02,625
60,30,30.0,0.0,0.0,30,870,1.06,0.2,0.05,0.24,0.04,551
60,30,30.0,0.0,0.0,30,870,0.96,0.17,0.12,0.27,0.1,539
60,30,30.0,0.0,0.0,30,870,1.07,0.22,0.02,0.26,0.02,564
60,30,30.0,0.0,0.0,30,870,0.98,0.17,0.13,0.26,0.05,550
60,30,30.0,0.0,0.0,30,870,1.02,0.18,0.1,0.24,0.03,590
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.25,0.05,527
60,30,30.0,0.0,0.0,30,870,1.08,0.19,0.15,0.28,0.09,557
60,30,30.0,0.0,0.0,30,870,1.0,0.19,0.02,0.24,0.02,551
60,30,30.0,0.0,0.0,30,870,1.1,0.15,0.09,0.29,0.12,583
60,30,30.0,0.0,0.0,30,870,1.04,0.17,0.12,0.28,0.07,570
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.15,0.26,0.13,543
60,30,30.0,0.0,0.0,30,870,1.06,0.18,0.11,0.25,0.07,543
60,30,30.0,0.0,0.0,30,870,0.94,0.17,0.12,0.22,0.04,563
60,30,30.0,0.0,0.0,30,870,0.96,0.18,0.1,0.25,0.24,577
60,30,30.0,0.0,0.0,30,870,1.05,0.21,0.02,0.26,0.02,578
60,30,30.0,0.0,0.0,30,870,1.06,0.2,0.05,0.24,0.04,490
60,30,30.0,0.0,0.0,30,870,0.96,0.17,0.12,0.27,0.1,496
60,30,30.0,0.0,0.0,30,870,1.07,0.22,0.02,0.26,0.02,511
60,30,30.0,0.0,0.0,30,870,0.98,0.17,0.13,0.26,0.05,494
60,30,30.0,0.0,0.0,30,870,1.02,0.18,0.1,0.24,0.03,517
60,30,30.0,0.0,0.0,30,870,0.99,0.16,0.08,0.25,0.05,480
60,30,30.0,0.0,0.0,30,870,1.08,0.19,0.15,0.28,0.09,502
60,30,30.0,0.0,0.0,30,870,1.0,0.19,0.02,0.24,0.02,504
60,30,30.0,0.0,0.0,30,870,1.1,0.15,0.09,0.29,0.12,505
60,30,30.0,0.0,0.0,30,870,1.04,0.17,0.12,0.28,0.07,502
60,30,30.0,0.0,0.0,30,870,1.01,0.17,0.15,0.26,0.13,496
60,30,30.0,0.0,0.0,30,870,1.06,0.18,0.11,0.25,0.07,501
60,30,30.0,0.0,0.0,30,870,0.94,0.17,0.12,0.22,0.04,517
60,30,30.0,0.0,0.0,30,870,0.96,0.18,0.1,0.25,0.24,523
60,30,30.0,0.0,0.0,30,870,1.05,0.21,0.02,0.26,0.02,516
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.06,0.22,0.05,486
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.07,0.27,0.03,427
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.02,0.25,0.02,510
60,30,30.0,0.0,0.0,30,870,0.09,0.0,0.05,0.22,0.06,451
60,30,30.0,0.0,0.0,30,870,0.22,0.0,0.08,0.24,0.04,425
60,30,30.0,0.0,0.0,30,870,0.2,0.0,0.05,0.21,0.03,432
60,30,30.0,0.0,0.0,30,870,0.03,0.0,0.02,0.25,0.02,482
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.06,0.22,0.05,435
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.07,0.27,0.03,406
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.02,0.25,0.02,470
60,30,30.0,0.0,0.0,30,870,0.09,0.0,0.05,0.22,0.06,438
60,30,30.0,0.0,0.0,30,870,0.22,0.0,0.08,0.24,0.04,404
60,30,30.0,0.0,0.0,30,870,0.2,0.0,0.05,0.21,0.03,406
60,30,30.0,0.0,0.0,30,870,0.03,0.0,0.02,0.25,0.02,443
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.06,0.22,0.05,397
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.07,0.27,0.03,385
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.02,0.25,0.02,425
60,30,30.0,0.0,0.0,30,870,0.09,0.0,0.05,0.22,0.06,396
60,30,30.0,0.0,0.0,30,870,0.22,0.0,0.08,0.24,0.04,380
60,30,30.0,0.0,0.0,30,870,0.2,0.0,0.05,0.21,0.03,363
60,30,30.0,0.0,0.0,30,870,0.03,0.0,0.02,0.25,0.02,398
60,30,30.0,0.0,0.0,30,870,0.15,0.0,0.05,0.23,0.04,505
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.34,0.08,536
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.07,0.21,0.03,484
60,30,30.0,0.0,0.0,30,870,0.17,0.0,0.07,0.24,0.06,495
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.01,0.21,0.02,551
60,30,30.0,0.0,0.0,30,870,0.1,0.0,0.08,0.33,0.06,477
60,30,30.0,0.0,0.0,30,870,0.27,0.0,0.1,0.34,0.07,530
60,30,30.0,0.0,0.0,30,870,0.04,0.0,0.01,0.25,0.02,516
60,30,30.0,0.0,0.0,30,870,0.08,0.0,0.06,0.22,0.03,445
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.3,0.1,551
60,30,30.0,0.0,0.0,30,870,0.19,0.0,0.02,0.26,0.02,510
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.05,0.22,0.04,443
60,30,30.0,0.0,0.0,30,870,0.15,0.0,0.05,0.23,0.04,449
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.34,0.08,502
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.07,0.21,0.03,451
60,30,30.0,0.0,0.0,30,870,0.17,0.0,0.07,0.24,0.06,459
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.01,0.21,0.02,497
60,30,30.0,0.0,0.0,30,870,0.1,0.0,0.08,0.33,0.06,451
60,30,30.0,0.0,0.0,30,870,0.27,0.0,0.1,0.34,0.07,497
60,30,30.0,0.0,0.0,30,870,0.04,0.0,0.01,0.25,0.02,461
60,30,30.0,0.0,0.0,30,870,0.08,0.0,0.06,0.22,0.03,399
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.3,0.1,502
60,30,30.0,0.0,0.0,30,870,0.19,0.0,0.02,0.26,0.02,490
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.05,0.22,0.04,424
60,30,30.0,0.0,0.0,30,870,0.15,0.0,0.05,0.23,0.04,411
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.34,0.08,448
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.07,0.21,0.03,404
60,30,30.0,0.0,0.0,30,870,0.17,0.0,0.07,0.24,0.06,411
60,30,30.0,0.0,0.0,30,870,0.12,0.0,0.01,0.21,0.02,438
60,30,30.0,0.0,0.0,30,870,0.1,0.0,0.08,0.33,0.06,410
60,30,30.0,0.0,0.0,30,870,0.27,0.0,0.1,0.34,0.07,450
60,30,30.0,0.0,0.0,30,870,0.04,0.0,0.01,0.25,0.02,410
60,30,30.0,0.0,0.0,30,870,0.08,0.0,0.06,0.22,0.03,383
60,30,30.0,0.0,0.0,30,870,0.26,0.0,0.1,0.3,0.1,460
60,30,30.0,0.0,0.0,30,870,0.19,0.0,0.02,0.26,0.02,442
60,30,30.0,0.0,0.0,30,870,0.13,0.0,0.05,0.22,0.04,399
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.09,0.3,2.66,563
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.06,0.24,2.65,530
60,30,30.0,0.0,0.0,30,900,0.75,0.0,0.05,0.29,2.64,570
60,30,30.0,0.0,0.0,30,900,0.89,0.0,0.05,0.26,2.78,578
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.1,0.22,2.63,537
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.06,0.3,2.66,569
60,30,30.0,0.0,0.0,30,900,0.87,0.0,0.05,0.27,2.67,576
60,30,30.0,0.0,0.0,30,900,0.84,0.0,0.05,0.26,2.63,549
60,30,30.0,0.0,0.0,30,900,0.81,0.0,0.07,0.27,2.7,522
60,30,30.0,0.0,0.0,30,900,0.77,0.0,0.06,0.3,2.67,570
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.09,0.3,2.66,510
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.06,0.24,2.65,510
60,30,30.0,0.0,0.0,30,900,0.75,0.0,0.05,0.29,2.64,517
60,30,30.0,0.0,0.0,30,900,0.89,0.0,0.05,0.26,2.78,540
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.1,0.22,2.63,518
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.06,0.3,2.66,523
60,30,30.0,0.0,0.0,30,900,0.87,0.0,0.05,0.27,2.67,537
60,30,30.0,0.0,0.0,30,900,0.84,0.0,0.05,0.26,2.63,536
60,30,30.0,0.0,0.0,30,900,0.81,0.0,0.07,0.27,2.7,503
60,30,30.0,0.0,0.0,30,900,0.77,0.0,0.06,0.3,2.67,540
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.09,0.3,2.66,490
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.06,0.24,2.65,477
60,30,30.0,0.0,0.0,30,900,0.75,0.0,0.05,0.29,2.64,483
60,30,30.0,0.0,0.0,30,900,0.89,0.0,0.05,0.26,2.78,503
60,30,30.0,0.0,0.0,30,900,0.71,0.0,0.1,0.22,2.63,471
60,30,30.0,0.0,0.0,30,900,0.82,0.0,0.06,0.3,2.66,476
60,30,30.0,0.0,0.0,30,900,0.87,0.0,0.05,0.27,2.67,502
60,30,30.0,0.0,0.0,30,900,0.84,0.0,0.05,0.26,2.63,496
60,30,30.0,0.0,0.0,30,900,0.81,0.0,0.07,0.27,2.7,471
60,30,30.0,0.0,0.0,30,900,0.77,0.0,0.06,0.3,2.67,497
60,30,30.0,0.0,0.0,30,870,0.72,0.18,0.07,0.19,1.67,591
60,30,30.0,0.0,0.0,30,870,0.78,0.18,0.09,0.23,1.82,590
60,30,30.0,0.0,0.0,30,870,0.96,0.24,0.05,0.29,1.92,606
60,30,30.0,0.0,0.0,30,870,0.71,0.17,0.08,0.25,1.63,584
60,30,30.0,0.0,0.0,30,870,0.75,0.23,0.04,0.26,1.8,604
60,30,30.0,0.0,0.0,30,870,0.74,0.2,0.08,0.33,1.71,591
60,30,30.0,0.0,0.0,30,870,0.73,0.22,0.09,0.25,1.69,588
60,30,30.0,0.0,0.0,30,870,0.72,0.16,0.12,0.26,1.66,588
60,30,30.0,0.0,0.0,30,870,0.74,0.22,0.12,0.29,1.84,550
60,30,30.0,0.0,0.0,30,870,0.82,0.23,0.09,0.25,1.76,609
60,30,30.0,0.0,0.0,30,870,0.74,0.19,0.07,0.29,1.75,604
60,30,30.0,0.0,0.0,30,870,0.86,0.24,0.04,0.3,1.9,619
60,30,30.0,0.0,0.0,30,870,0.9,0.24,0.03,0.29,1.88,643
60,30,30.0,0.0,0.0,30,870,0.68,0.17,0.09,0.26,1.62,569
60,30,30.0,0.0,0.0,30,870,0.72,0.18,0.07,0.19,1.67,551
60,30,30.0,0.0,0.0,30,870,0.78,0.18,0.09,0.23,1.82,543
60,30,30.0,0.0,0.0,30,870,0.96,0.24,0.05,0.29,1.92,543
60,30,30.0,0.0,0.0,30,870,0.71,0.17,0.08,0.25,1.63,524
60,30,30.0,0.0,0.0,30,870,0.75,0.23,0.04,0.26,1.8,571
